"canonicalname","guild","citationSource","simplified_disease_1","simplified_disease_2","accepted_name","kingdom","names_to_use"
"Entorrhiza_casparyana","Plant_Pathogen","USDA_Plant_Fungus_database_https://nt.ars-grin.gov/fungaldatabases/fungushost/fungushost.cfm","gall_root_smut","gall_root_smut","Juncorrhiza casparyana","Fungi","Juncorrhiza_casparyana"
"Entorrhiza_casparyanella","Plant_Pathogen","USDA_Plant_Fungus_database_https://nt.ars-grin.gov/fungaldatabases/fungushost/fungushost.cfm","smut","smut","Juncorrhiza casparyanella","Fungi","Juncorrhiza_casparyanella"
"Entorrhiza_tenuis","Plant_Pathogen","USDA_Plant_Fungus_database_https://nt.ars-grin.gov/fungaldatabases/fungushost/fungushost.cfm","smut","smut","Juncorrhiza tenuis","Fungi","Juncorrhiza_tenuis"
"Junghuhnia_nitida","Fungal_Parasite Wood_Saprotroph","List_compiled_by_John_Plischke_III_((http://home.comcast.net/~grifola/fungionfungi.pdf)) AND Sánchez-García,_M_et_al._2020._Proc_Natl_Acad_Sci_U_S_A_117(51):_32528-32534",NA,NA,"Junghuhnia nitida","Fungi","Junghuhnia_nitida"
"Junghuhnia_subundata","Wood_Saprotroph","Sánchez-García,_M_et_al._2020._Proc_Natl_Acad_Sci_U_S_A_117(51):_32528-32534",NA,NA,"Junghuhnia subundata","Fungi","Junghuhnia_subundata"
"Phoma_eupyrena","Plant_Pathogen Wood_Saprotroph","Nilsson_T._1973._Studia_Forestalia_Suecica_104:1-40_((https://pub.epsilon.slu.se/5711/));_Seehann_G,_et_al._1975._List_of_Fungi_in_Soft-Rot_Tissue_Tests._Institute_fur_Holzbiologie_und_Holzschutz,_Bundesforschungsanstalt_fur_Forst_-_und_Holzwirtshaft,_Hamburg_-_Lohbrugge,_Germany;_Costa_IPMW,_et_al._2012._Mycotaxon_119:e26_((http://mycotaxon.com/resources/checklists/costa_v119_checklist.pdf));_The_American_Phytopathological_Society_Common_Names_of_Plant_Diseases_((http://www.apsnet.org/publications/commonnames/Pages/default.aspx)) AND USDA_Plant_Fungus_database_https://nt.ars-grin.gov/fungaldatabases/fungushost/fungushost.cfm","seedling_damping_off","damping_off","Juxtiphoma eupyrena","Fungi","Juxtiphoma_eupyrena"
"Aureobasidium_caulivorum Exobasidiopsis_caulivora Gloeosporium_caulivorum Kabatiella_caulivora","Endophyte Plant_Pathogen","Costa_IPMW,_et_al._2012._Mycotaxon_119:e26_((http://mycotaxon.com/resources/checklists/costa_v119_checklist.pdf));_The_American_Phytopathological_Society_Common_Names_of_Plant_Diseases_((http://www.apsnet.org/publications/commonnames/Pages/default.aspx)) AND USDA_Plant_Fungus_database_https://nt.ars-grin.gov/fungaldatabases/fungushost/fungushost.cfm AND USDA_Plant_Fungus_database_https://nt.ars-grin.gov/fungaldatabases/fungushost/fungushost.cfm AND USDA_Plant_Fungus_database_https://nt.ars-grin.gov/fungaldatabases/fungushost/fungushost.cfm AND Costa_IPMW,_et_al._2012._Mycotaxon_119:e26_((http://mycotaxon.com/resources/checklists/costa_v119_checklist.pdf)) AND USDA_Plant_Fungus_database_https://nt.ars-grin.gov/fungaldatabases/fungushost/fungushost.cfm","clover_scorch","clover_scorch","Kabatiella caulivora","Fungi","Kabatiella_caulivora"
"Aureobasidium_lini Aureobasidium_pullulans_var._lini Kabatiella_lini Polyspora_lini Pullularia_pullulans_var._lini","Plant_Pathogen Saprotroph","The_American_Phytopathological_Society_Common_Names_of_Plant_Diseases_((http://www.apsnet.org/publications/commonnames/Pages/default.aspx)) AND USDA_Plant_Fungus_database_https://nt.ars-grin.gov/fungaldatabases/fungushost/fungushost.cfm AND USDA_Plant_Fungus_database_https://nt.ars-grin.gov/fungaldatabases/fungushost/fungushost.cfm AND USDA_Plant_Fungus_database_https://nt.ars-grin.gov/fungaldatabases/fungushost/fungushost.cfm AND USDA_Plant_Fungus_database_https://nt.ars-grin.gov/fungaldatabases/fungushost/fungushost.cfm AND USDA_Plant_Fungus_database_https://nt.ars-grin.gov/fungaldatabases/fungushost/fungushost.cfm","browning_leaf_spot__stem_break browning_leaf_spot_stem_break coalescing_stem_red_rotting_spot_post_harvest_disease_saprobe","browning_leaf_spot__stem_break browning_leaf_spot_stem_break post_harvest_disease_rotting_spot","Kabatiella lini","Fungi","Kabatiella_lini"
"Aureobasidium_zeae Kabatiella_zeae","Plant_Pathogen","USDA_Plant_Fungus_database_https://nt.ars-grin.gov/fungaldatabases/fungushost/fungushost.cfm AND The_American_Phytopathological_Society_Common_Names_of_Plant_Diseases_((http://www.apsnet.org/publications/commonnames/Pages/default.aspx)) AND USDA_Plant_Fungus_database_https://nt.ars-grin.gov/fungaldatabases/fungushost/fungushost.cfm","leaf_spot","leaf_spot","Kabatiella zeae","Fungi","Kabatiella_zeae"
"Kabatina_juniperi","Plant_Pathogen","USDA_Plant_Fungus_database_https://nt.ars-grin.gov/fungaldatabases/fungushost/fungushost.cfm","dieback","dieback","Kabatina juniperi","Fungi","Kabatina_juniperi"
