"accepted_name","guild","guild_count","tax_level","phylum","class","order","family"
"Alloclavaria","Saprotroph",1,"B_genus","Basidiomycota","Agaricomycetes","Hymenochaetales","Rickenellaceae"
"Alloconiothyrium","Saprotroph",1,"B_genus","Ascomycota","Dothideomycetes","Pleosporales","Didymosphaeriaceae"
"Allocryptovalsa","Plant_Pathogen",1,"B_genus","Ascomycota","Sordariomycetes","Xylariales","Diatrypaceae"
"Allodus","Biotrophic_plant_pathogen",1,"B_genus","Basidiomycota","Pucciniomycetes","Pucciniales","Pucciniaceae"
"Allographa","Lichenized",1,"B_genus","Ascomycota","Lecanoromycetes","Ostropales","Graphidaceae"
"Alloleptosphaeria","Plant_Pathogen",1,"B_genus","Ascomycota","Dothideomycetes","Pleosporales","Leptosphaeriaceae"
"Allomyces","Saprotroph",1,"B_genus","Blastocladiomycota","Blastocladiomycetes","Blastocladiales","Blastocladiaceae"
"Allophoma","Endophyte Plant_Pathogen Saprotroph",3,"B_genus","Ascomycota","Dothideomycetes","Pleosporales","Didymellaceae"
"Alnicola","Ectomycorrhizal",1,"B_genus","Basidiomycota","Agaricomycetes","Agaricales","Hymenogastraceae"
"Alpakesa","Plant_Pathogen",1,"B_genus","Ascomycota","Incertae sedis","Incertae sedis","Incertae sedis"
"Alpinaria","Plant_Pathogen Wood_Saprotroph",2,"B_genus","Ascomycota","Dothideomycetes","Pleosporales","Melanommataceae"
"Alpova","Ectomycorrhizal",1,"B_genus","Basidiomycota","Agaricomycetes","Boletales","Paxillaceae"
"Alternaria","Endophyte Human_Pathogen Necrotrophic_plant_pathogen Plant_Pathogen Saprotroph Wood_Saprotroph",6,"B_genus","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae"
"Alternariaster","Endophyte Necrotrophic_plant_pathogen Plant_Pathogen Saprotroph",4,"B_genus","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae"
"Alutaceodontia","Wood_Saprotroph",1,"B_genus","Basidiomycota","Agaricomycetes","Hymenochaetales","Schizoporaceae"
"Alysidiella","Necrotrophic_plant_pathogen Plant_Pathogen",2,"B_genus","Ascomycota","Incertae sedis","Incertae sedis","Incertae sedis"
"Alyxoria","Lichenized",1,"B_genus","Ascomycota","Arthoniomycetes","Arthoniales","Lecanographaceae"
"Amandinea","Lichenized",1,"B_genus","Ascomycota","Lecanoromycetes","Caliciales","Caliciaceae"
"Amanita","Ectomycorrhizal Saprotroph",2,"B_genus","Basidiomycota","Agaricomycetes","Agaricales","Amanitaceae"
"Amarrendia","Ectomycorrhizal",1,"B_genus","Basidiomycota","Agaricomycetes","Agaricales","Amanitaceae"
"Amauroderma","Ectomycorrhizal Wood_Saprotroph",2,"B_genus","Basidiomycota","Agaricomycetes","Polyporales","Polyporaceae"
"Amaurodon","Wood_Saprotroph",1,"B_genus","Basidiomycota","Agaricomycetes","Thelephorales","Thelephoraceae"
"Amazonia","Biotrophic_plant_pathogen",1,"B_genus","Ascomycota","Sordariomycetes","Meliolales","Meliolaceae"
"Amazonomyces","Lichenized",1,"B_genus","Ascomycota","Arthoniomycetes","Arthoniales","Arthoniaceae"
"Ambarignomonia","Plant_Pathogen",1,"B_genus","Ascomycota","Sordariomycetes","Diaporthales","Gnomoniaceae"
"Ambispora","Arbuscular_Mycorrhizal",1,"B_genus","Glomeromycota","Glomeromycetes","Archaeosporales","Ambisporaceae"
"Ambrosiozyma","Saprotroph",1,"B_genus","Ascomycota","Saccharomycetes","Saccharomycetales","Saccharomycopsidaceae"
"Ameliella","Lichenized",1,"B_genus","Ascomycota","Lecanoromycetes","Lecanorales","Lecanoraceae"
"Ameroconium","Lichen_Parasite",1,"B_genus","Ascomycota","Incertae sedis","Incertae sedis","Incertae sedis"
"Ampelomyces","Endophyte Fungal_Parasite",2,"B_genus","Ascomycota","Dothideomycetes","Pleosporales","Phaeosphaeriaceae"
"Amphibambusa","Saprotroph",1,"B_genus","Ascomycota","Sordariomycetes","Amphisphaeriales","Amphisphaeriaceae"
"Amphinema","Ectomycorrhizal Plant_Pathogen",2,"B_genus","Basidiomycota","Agaricomycetes","Atheliales","Atheliaceae"
"Amphisphaerella","Plant_Pathogen",1,"B_genus","Ascomycota","Sordariomycetes","Amphisphaeriales","Amphisphaeriaceae"
"Amphisphaeria","Saprotroph",1,"B_genus","Ascomycota","Sordariomycetes","Amphisphaeriales","Amphisphaeriaceae"
"Amphistereum","Saprotroph",1,"B_genus","Basidiomycota","Agaricomycetes","Auriculariales","Auriculariaceae"
"Amphobotrys","Plant_Pathogen",1,"B_genus","Ascomycota","Leotiomycetes","Helotiales","Sclerotiniaceae"
"Amphorothecium","Lichenized",1,"B_genus","Ascomycota","Lecanoromycetes","Ostropales","Incertae sedis"
"Ampliotrema","Lichenized",1,"B_genus","Ascomycota","Lecanoromycetes","Ostropales","Graphidaceae"
"Ampullifera","Lichen_Parasite",1,"B_genus","Ascomycota","Incertae sedis","Incertae sedis","Incertae sedis"
"Ampulloclitocybe","Saprotroph",1,"B_genus","Basidiomycota","Agaricomycetes","Agaricales","Hygrophoraceae"
"Amundsenia","Lichenized",1,"B_genus","Ascomycota","Lecanoromycetes","Teloschistales","Teloschistaceae"
"Amycosphaerella","Plant_Pathogen",1,"B_genus","Ascomycota","Dothideomycetes","Mycosphaerellales","Mycosphaerellaceae"
"Amygdalaria","Lichenized",1,"B_genus","Ascomycota","Lecanoromycetes","Lecideales","Lecideaceae"
"Amyloathelia","Saprotroph",1,"B_genus","Basidiomycota","Agaricomycetes","Amylocorticiales","Amylocorticiaceae"
"Amylocorticiellum","Wood_Saprotroph",1,"B_genus","Basidiomycota","Agaricomycetes","Amylocorticiales","Amylocorticiaceae"
"Amylocorticium","Wood_Saprotroph",1,"B_genus","Basidiomycota","Agaricomycetes","Amylocorticiales","Amylocorticiaceae"
"Amylonotus","Wood_Saprotroph",1,"B_genus","Basidiomycota","Agaricomycetes","Russulales","Bondarzewiaceae"
"Amyloporia","Wood_Saprotroph",1,"B_genus","Basidiomycota","Agaricomycetes","Polyporales","Fomitopsidaceae"
"Amylora","Lichenized",1,"B_genus","Ascomycota","Lecanoromycetes","Incertae sedis","Trapeliaceae"
"Amylosporia","Wood_Saprotroph",1,"B_genus","Basidiomycota","Agaricomycetes","Polyporales","Polyporaceae"
"Amylosporus","Wood_Saprotroph",1,"B_genus","Basidiomycota","Agaricomycetes","Russulales","Bondarzewiaceae"
"Amylostereum","Ectomycorrhizal Necrotrophic_plant_pathogen Wood_Saprotroph",3,"B_genus","Basidiomycota","Agaricomycetes","Russulales","Echinodontiaceae"
"Anamylopsora","Lichenized",1,"B_genus","Ascomycota","Lecanoromycetes","Baeomycetales","Baeomycetaceae"
"Anaptychia","Lichenized",1,"B_genus","Ascomycota","Lecanoromycetes","Caliciales","Physciaceae"
"Ancistrosporella","Lichenized",1,"B_genus","Ascomycota","Arthoniomycetes","Arthoniales","Roccellaceae"
"Ancylistes","Insect_Pathogen",1,"B_genus","Entomophthoromycota","Entomophthoromycetes","Entomophthorales","Ancylistaceae"
"Andebbia","Ectomycorrhizal",1,"B_genus","Basidiomycota","Agaricomycetes","Hysterangiales","Mesophelliaceae"
"Andreiomyces","Lichenized",1,"B_genus","Ascomycota","Arthoniomycetes","Arthoniales","Andreiomycetaceae"
"Anema","Lichenized",1,"B_genus","Ascomycota","Lichinomycetes","Lichinales","Lichinaceae"
"Angiactis","Lichenized",1,"B_genus","Ascomycota","Arthoniomycetes","Arthoniales","Incertae sedis"
"Angiopsora","Biotrophic_plant_pathogen",1,"B_genus","Basidiomycota","Pucciniomycetes","Pucciniales","Phakopsoraceae"
"Anguillosporella","Necrotrophic_plant_pathogen",1,"B_genus","Ascomycota","Dothideomycetes","Mycosphaerellales","Mycosphaerellaceae"
"Anisogramma","Plant_Pathogen",1,"B_genus","Ascomycota","Sordariomycetes","Diaporthales","Incertae sedis"
"Anisomeridium","Lichenized Saprotroph",2,"B_genus","Ascomycota","Dothideomycetes","Monoblastiales","Monoblastiaceae"
"Annellolacinia","Plant_Pathogen",1,"B_genus","Ascomycota","Incertae sedis","Incertae sedis","Incertae sedis"
"Annellophora","Plant_Pathogen",1,"B_genus","Ascomycota","Incertae sedis","Incertae sedis","Incertae sedis"
"Annulohypoxylon","Endophyte Plant_Pathogen",2,"B_genus","Ascomycota","Sordariomycetes","Xylariales","Hypoxylaceae"
"Anomalographis","Lichenized",1,"B_genus","Ascomycota","Lecanoromycetes","Ostropales","Graphidaceae"
"Anomalomyces","Plant_Pathogen",1,"B_genus","Basidiomycota","Ustilaginomycetes","Ustilaginales","Ustilaginaceae"
"Anomoloma","Wood_Saprotroph",1,"B_genus","Basidiomycota","Agaricomycetes","Amylocorticiales","Amylocorticiaceae"
"Anomomorpha","Lichenized",1,"B_genus","Ascomycota","Lecanoromycetes","Ostropales","Graphidaceae"
"Anomoporia","Wood_Saprotroph",1,"B_genus","Basidiomycota","Agaricomycetes","Amylocorticiales","Amylocorticiaceae"
"Antella","Wood_Saprotroph",1,"B_genus","Basidiomycota","Agaricomycetes","Polyporales","Steccherinaceae"
"Antennariella","Plant_Pathogen",1,"B_genus","Ascomycota","Dothideomycetes","Capnodiales","Capnodiaceae"
"Antennularia","Plant_Pathogen",1,"B_genus","Ascomycota","Dothideomycetes","Capnodiales","Metacapnodiaceae"
"Antennulariella","Lichenized",1,"B_genus","Ascomycota","Dothideomycetes","Capnodiales","Antennulariellaceae"
"Antherospora","Plant_Pathogen",1,"B_genus","Basidiomycota","Ustilaginomycetes","Urocystidales","Floromycetaceae"
"Anthoporia","Wood_Saprotroph",1,"B_genus","Basidiomycota","Agaricomycetes","Polyporales","Fomitopsidaceae"
"Anthostoma","Plant_Pathogen Saprotroph",2,"B_genus","Ascomycota","Sordariomycetes","Xylariales","Diatrypaceae"
"Anthostomaria","Lichen_Parasite",1,"B_genus","Ascomycota","Sordariomycetes","Incertae sedis","Incertae sedis"
"Anthostomella","Endophyte Plant_Pathogen",2,"B_genus","Ascomycota","Sordariomycetes","Xylariales","Xylariaceae"
"Anthostomelloides","Endophyte",1,"B_genus","Ascomycota","Sordariomycetes","Xylariales","Xylariaceae"
"Anthracocarpon","Lichenized",1,"B_genus","Ascomycota","Eurotiomycetes","Verrucariales","Verrucariaceae"
"Anthracocystis","Plant_Pathogen",1,"B_genus","Basidiomycota","Ustilaginomycetes","Ustilaginales","Ustilaginaceae"
"Anthracoidea","Biotrophic_plant_pathogen",2,"B_genus","Basidiomycota","Ustilaginomycetes","Ustilaginales","Anthracoideaceae"
"Anthracophyllum","Saprotroph",1,"B_genus","Basidiomycota","Agaricomycetes","Agaricales","Omphalotaceae"
"Anthracothecium","Lichenized",1,"B_genus","Ascomycota","Eurotiomycetes","Pyrenulales","Pyrenulaceae"
"Antrodia","Plant_Pathogen Saprotroph Wood_Saprotroph",3,"B_genus","Basidiomycota","Agaricomycetes","Polyporales","Fomitopsidaceae"
"Antrodiella","Wood_Saprotroph",1,"B_genus","Basidiomycota","Agaricomycetes","Polyporales","Steccherinaceae"
